bgt banget 
yg yang
aj aja 
ga ngga 
dri dari 
anu dia 
uda sudah 
tp tapi 
jg juga 
bnyk banyak 
skrg sekarang 
udh udah
gtu gitu 
d maenin dimainin 
udh sudah 
mksudnya maksudnya 
gara2 gara-gara 
ember emang benar 
santuy santai 
indonesia'y indonesianya 
kejar2 kejar-kejar 
orang2 orang-orang 
pidanaaa pidana 
org orang 
terosss terus 
mgkn mungkin 
dlm dalam 
dr dari 
ln luar negri 
yoi iya 
sampe sampai 
gak ngga 
jd jadi 
tp tapi 
apa" apa-apa 
klo kalau banyak 
indo indonesia 
parah" parah-parah 
nih ni 
retjeh uang 
pemerintahny pemerintahnya 
klemer2 klemer-klemer 
mlw mulu 
bgtu begitu 
pemrintah pemerintah 
jgn jangan 
ktemu ketemu 
org2 orang-orang 
bersin2 bersin-bersin 
pdhl padahal 
masing2 masing-masing
aja saja 
dah sudah 
krna karena 
orng orang 
yaa ya 
beloon bodoh 
alih-alih 
ampe sampe 
emang memang 
kyk seperti 
ko kok 
gede besar 
ga ngga
kluarga keluarga 
lw lo 
makluk makhluk 
kek seperti 
maju2 maju-maju 
gara2 gara-gara 
lu lo 
jngan2 jangan-jangan 
ente kamu 
dri dari 
negara2 negara-negara 
ydh yasudah 
klo kalau 
ati2 hati-hati 
ga ngga 
yak ya 
ttp tetap 
cuma cuman 
kek seperti 
santay santai 
kbar kabar 
tbtb tiba-tiba 
lgsg langsung 
kmrn kemarin 
emg memang 
tdi tadi 
kmn kemana 
d di 
enak2an enak-enakan 
aja saja 
bpk bapak 
jaga2 jaga-jaga 
bener2 benar-benar  
agak sedikit 
sm sama 
tdk tidak 
bs bisa
sj saja 
skrg sekarang 
sdh sudah 
nganggep menganggap 
batuk2 batuk-batuk 
kalo kalau 
bnyk banyak 


